DC Bias[V],Cap. Change Rate[%]
0,0
0.25,0.18098714789061
0.5,0.079918458471151
0.75,-0.284793158948715
1,-0.893462194018435
1.25,-1.72556937464187
1.5,-2.76016048877766
1.75,-3.97620121933555
2,-5.35288600634706
2.25,-6.86990063548741
2.5,-8.50763963085421
2.75,-10.2473806108707
3,-12.0714185689872
3.25,-13.9631635930132
3.5,-15.9072058705225
3.75,-17.8893519768881
4,-19.896636441047
4.25,-21.9173124643255
4.5,-23.9408254591316
4.75,-25.957772803202
5,-27.9598528939012
5.25,-29.9398062545537
5.5,-31.8913511061312
5.75,-33.8091154846506
6,-35.6885676662291
6.25,-37.5259463641632
6.5,-39.3181918897441
6.75,-41.0628792230843
7,-42.758153722879
7.25,-44.4026700145172
7.5,-45.9955344332403
7.75,-47.5362512614818
8,-49.0246728851061
8.25,-50.4609538997761
8.5,-51.8455091238164
8.75,-53.178975415407
9,-54.4621771475329
9.25,-55.6960951617543
9.5,-56.8818389996369
9.75,-58.0206221968556
10,-59.1137404180265
10.25,-60.1625522088613
10.5,-61.1684621451099
10.75,-62.1329061639471
11,-63.0573388721143
11.25,-63.9432226355384
11.5,-64.7920182667236
11.75,-65.6051771384752
12,-66.3841345650761
12.25,-67.1303043046062
12.5,-67.8450740484287
12.75,-68.5298017757982
13,-69.1858128629506
13.25,-69.8143978468157
13.5,-70.416810753616
13.75,-70.9942679120298
14,-71.5479471793145
14.25,-72.0789875168028
14.5,-72.5884888585184
14.75,-73.0775122233525
15,-73.5470800273064
15.25,-73.9981765577975
15.5,-74.4317485769751
15.75,-74.8487060254393
16,-75.2499228017407
16.25,-75.6362375966051
16.5,-76.0084547639994
16.75,-76.3673452139858
17,-76.7136473148172
17.25,-77.0480677939473
17.5,-77.3712826295922
17.75,-77.6839379262069
18,-77.9866507687575
18.25,-78.2800100520011
18.5,-78.5645772821401
18.75,-78.8408873492252
19,-79.1094492695504
19.25,-79.3707468980209
19.5,-79.6252396111122
19.75,-79.8733629615599
20,-80.1155293063644
20.25,-80.3521284100372
20.5,-80.5835280253008
20.75,-80.8100744536521
21,-81.0320930883485
21.25,-81.2498889424545
21.5,-81.4637471646207
21.75,-81.6739335452516
22,-81.8806950156538
22.25,-82.0842601426611
22.5,-82.2848396210953
22.75,-82.4826267662563
23,-82.6777980084433
23.25,-82.8705133912916
23.5,-83.0609170754772
23.75,-83.2491378490889
24,-83.43528964571
24.25,-83.6194720709824
24.5,-83.8017709381536
24.75,-83.9822588128391
25,-84.1609955669647
25.25,-84.3380289415907
25.5,-84.5133951180788
25.75,-84.6871192968195
26,-84.8592162825252
26.25,-85.0296910748925
26.5,-85.198539463262
26.75,-85.3657486237468
27,-85.5312977171743
27.25,-85.6951584860817
27.5,-85.8572958489286
27.75,-86.0176684896446
28,-86.1762294406055
28.25,-86.3329266571378
28.5,-86.4877035816893
28.75,-86.6404996958554
29,-86.7912510585399
29.25,-86.9398908286334
29.5,-87.0863497707178
29.75,-87.2305567424623
30,-87.3724391625281
30.25,-87.5119234579932
30.5,-87.6489354904932
30.75,-87.7834009604844
31,-87.9152457892452
31.25,-88.0443964784587
31.5,-88.1707804474359
31.75,-88.294326348274
32,-88.4149643594702
32.25,-88.5326264587379
32.5,-88.6472466759983
32.75,-88.758761327746
33,-88.8671092341962
33.25,-88.9722319208434
33.5,-89.0740738062567
33.75,-89.1725823781444
34,-89.267708359905
34.25,-89.3594058700725
34.5,-89.4476325772343
34.75,-89.5323498531785
35,-89.613522927179
35.25,-89.6911210444892
35.5,-89.7651176322596
35.75,-89.8354904762313
36,-89.9022219116915
36.25,-89.9652990322957
36.5,-90.0247139204697
36.75,-90.0804639032092
37,-90.1325518371691
37.25,-90.1809864270131
37.5,-90.2257825810225
37.75,-90.2669618080017
38,-90.3045526594879
38.25,-90.3385912212293
38.5,-90.3691216578019
38.75,-90.3961968140699
39,-90.4198788769746
39.25,-90.4402401008411
39.5,-90.4573635989734
39.75,-90.471344203809
40,-90.4822893972448
40.25,-90.490320311951
40.5,-90.495572803502
40.75,-90.49819859198
41,-90.4983664702831
41.25,-90.4962635747082
41.5,-90.4920967114174
41.75,-90.486093730125
42,-90.4785049337204
42.25,-90.4696045095627
42.5,-90.4596919647981
42.75,-90.4490935442639
43,-90.438163605344
43.25,-90.4272859195157
43.5,-90.4168748653188
43.75,-90.4073764720998
44,-90.3992692682065
44.25,-90.3930648813967
44.5,-90.3893083332367
44.75,-90.3885779632887
45,-90.3914849131923
45.25,-90.3986720955168
45.5,-90.4108125678115
45.75,-90.4286072289826
46,-90.4527817533465
46.25,-90.4840826779292
46.5,-90.5232725613063
46.75,-90.5711241380585
47,-90.6284134023316
47.25,-90.6959115676221
47.5,-90.7743758683272
47.75,-90.8645391923219
48,-90.9670985632586
48.25,-91.0827025267082
48.5,-91.2119375357442
48.75,-91.3553134788601
49,-91.5132485457481
49.25,-91.6860536833975
49.5,-91.873916954824
49.75,-92.0768881735796
50,-92.2948642464729
